"","x"
"1222",12
"1223",5
"1224",1
"1225",3
"1226",4
"1227",40
"1228",135
"1229",14
"1230",1
"1231",2
"1232",61
"1233",3
"1234",1
"1235",1
"1236",7
"1237",1
"1238",1
"1239",1
"1240",6
"1241",1
"1242",11
"1243",2
"1244",1
"1245",1
"1246",11
"1247",5
"1248",29
"1249",10
"1250",17
"1251",1
"1252",2
"1253",2
"1254",4
"1255",1
"1256",3
"1257",1
"1258",19
"1259",12
"1260",11
"1261",1
"1262",1
"1263",5
"1264",46
"1265",4
"1266",1
"1267",2
"1268",7
"1269",1
"1270",1
"1271",1
"1272",1
"1273",1
"1274",1
"1275",1
"1276",23
"1277",1
"1278",3
"1279",2
"1280",1
"1281",26
"1282",4
"1283",2
"1284",1
"1285",2
"1286",44
"1287",13
"1288",1
"1289",1
"1290",1
"1291",2
"1292",1
"1293",2
"1294",1
"1295",1
"1296",1
"1297",2
"1298",6
"1299",1
"1300",1
"1301",1
"1302",10
"1303",4
"1304",1
"1305",3
"1306",2
"1307",2
"1308",1
"1309",1
"1310",11
"1311",1
"1312",1
"1313",1002
"1314",1
"1315",1
"1316",2
"1317",1
"1318",3
"1319",1
"1320",1
"1321",6
"1322",1
"1323",1
"1324",17
"1325",2
"1326",1
"1327",1
"1328",876
"1329",3
"1330",43
"1331",10
"1332",1
"1333",2
"1334",8
"1335",7
"1336",2
"1337",4
"1338",3
"1339",4
"1340",15
"1341",1
"1342",6
"1343",1
"1344",2
"1345",2
"1346",4
"1347",2
"1348",2
"1349",1
"1350",2
"1351",5
"1352",1
"1353",1
"1354",4
"1355",2
"1356",34
"1357",1
"1358",3
"1359",2
"1360",9
"1361",3
"1362",6
"1363",1
"1364",1
"1365",1
"1366",1
"1367",3
"1368",3
"1369",1
"1370",3
"1371",1
"1372",1
"1373",1
"1374",1
"1375",1
"1376",18
"1377",38
"1378",1
"1379",1
"1380",1
"1381",1
"1382",53
"1383",1
"1384",1
"1385",11
"1386",1
"1387",1
"1388",1
"1389",3
"1390",1
"1391",2
"1392",1
"1393",1
"1394",1
"1395",1
"1396",1
"1397",1
"1398",1
"1399",8
"1400",1
"1401",14
"1402",11
"1403",23
"1404",3
"1405",3
"1406",1
"1407",1
"1408",1
"1409",2
"1410",2
"1411",1
"1412",3
"1413",1
"1414",2
"1415",19
"1416",10
"1417",1
"1418",1
"1419",1
"1420",4
"1421",8
"1422",6
"1423",1
"1424",4
"1425",1
"1426",1
"1427",1
"1428",1
"1429",1
"1430",11
"1431",1
"1432",1
"1433",1
"1434",4
"1435",3
"1436",1
"1437",9
"1438",1
"1439",8
"1440",25
"1441",32
"1442",1
"1443",2
"1444",13
"1445",2
"1446",46
"1447",1
"1448",1
"1449",8
"1450",1
"1451",1
"1452",1
"1453",2
"1454",2
"1455",5
"1456",1
"1457",1
"1458",1
"1459",1
"1460",2
"1461",3
"1462",1
"1463",3
"1464",1
"1465",1
"1466",1
"1467",1
"1468",4
"1469",1
"1470",1
"1471",1
"1472",1
"1473",3
"1474",1
"1475",1
"1476",1
"1477",9
"1478",1
"1479",8
"1480",1
"1481",17
"1482",1
"1483",1
"1484",1
"1485",1
"1486",1
"1487",1
"1488",1
"1489",3
"1490",143
"1491",1
"1492",25
"1493",3
"1494",1
"1495",5
"1496",1
"1497",1
"1498",37
"1499",2
"1500",1
"1501",1
"1502",1
"1503",4
"1504",1
"1505",1
"1506",1
"1507",1
"1508",1
"1509",1
"1510",1
"1511",1
"1512",1
"1513",1
"1514",2
"1515",1
"1516",1
"1517",9
"1518",3
"1519",1
"1520",3
"1521",5
"1522",1
"1523",1
"1524",5
"1525",1
"1526",2
"1527",2
"1528",1
"1529",1
"1530",1
"1531",1447
"1532",128
"1533",79
"1534",1
"1535",5
"1536",756
"1537",2
"1538",1
"1539",6
"1540",8
"1541",1
"1542",1
"1543",6
"1544",1
"1545",1
"1546",1
"1547",1
"1548",356
"1549",6
"1550",15
"1551",1
"1552",19
"1553",1
"1554",1
"1555",1
"1556",1
"1557",1
"1558",1
"1559",1
"1560",1
"1561",1
"1562",1
"1563",2
"1564",5
"1565",7
"1566",2
"1567",1
"1568",2
"1569",10
"1570",23
"1571",11
"1572",4
"1573",1
"1574",1
"1575",1
"1576",84
"1577",1
"1578",28
"1579",3
"1580",3
"1581",1
"1582",1
"1583",5
"1584",1
"1585",1
"1586",1
"1587",1
"1588",1
"1589",2
"1590",1
"1591",1
"1592",1
"1593",1
"1594",1
"1595",1
"1596",2
"1597",1
"1598",5
"1599",1
"1600",1
"1601",4
"1602",1
"1603",1
"1604",1
"1605",5
"1606",2
"1607",10
"1608",1
"1609",5
"1610",1
"1611",1
"1612",5
"1613",9
"1614",1
"1615",1
"1616",1
"1617",23
"1618",1
"1619",3
"1620",1
"1621",13
"1622",1
"1623",1
"1624",4
"1625",2
"1626",6
"1627",1
"1628",40
"1629",1
"1630",76
"1631",33
"1632",1
"1633",36
"1634",2
"1635",1
"1636",1
"1637",1
"1638",1
"1639",1
"1640",3
"1641",1
"1642",2
"1643",3
"1644",11
"1645",1
"1646",31
"1647",1
"1648",27
"1649",1
"1650",1
"1651",1
"1652",9
"1653",1
"1654",1
"1655",17
"1656",8
"1657",2
"1658",4
"1659",441
"1660",1
"1661",56
"1662",2
"1663",1
"1664",2
"1665",1
"1666",3
"1667",6
"1668",2
"1669",2
"1670",1
"1671",261
"1672",1
"1673",4
"1674",2
"1675",1
"1676",10
"1677",1
"1678",1
"1679",2
"1680",3
"1681",3
"1682",2
"1683",1
"1684",1
"1685",1
"1686",5
"1687",1
"1688",2
"1689",1
"1690",21
"1691",3
"1692",1
"1693",1
"1694",2
"1695",7
"1696",1
"1697",1
"1698",10
"1699",3
"1700",7
"1701",10
"1702",1
"1703",1
"1704",5
"1705",4
"1706",1
"1707",1
"1708",2
"1709",1
"1710",1
"1711",1
"1712",1
"1713",1
"1714",43
"1715",1
"1716",1
"1717",1
"1718",1
"1719",1
"1720",1
"1721",3
"1722",8
"1723",1
"1724",1
"1725",4
"1726",46
"1727",4
"1728",6
"1729",17
"1730",20
"1731",1
"1732",1
"1733",2
"1734",1
"1735",1
"1736",1
"1737",8
"1738",355
"1739",1
"1740",2
"1741",1
"1742",7
"1743",1
"1744",1
"1745",150
"1746",1
"1747",11
"1748",7
"1749",2
"1750",2
"1751",29
"1752",6
"1753",1
"1754",1
"1755",9
"1756",1
"1757",1
"1758",1
"1759",1
"1760",1
"1761",4
"1762",1
"1763",3
"1764",1
"1765",3
"1766",1
"1767",1
"1768",1
"1769",1
"1770",2
"1771",6
"1772",2
"1773",1
"1774",1
"1775",4
"1776",6
"1777",4
"1778",3
"1779",1
"1780",1
"1781",3
"1782",1
"1783",2
"1784",13
"1785",2
"1786",2
"1787",1
"1788",1
"1789",1
"1790",1
"1791",50
"1792",1
"1793",2
"1794",2
"1795",1
"1796",2
"1797",2
"1798",1
"1799",2
"1800",1
"1801",8
"1802",1
"1803",2
"1804",1
"1805",1
"1806",2
"1807",1
"1808",4
"1809",7
"1810",7
"1811",2
"1812",2
"1813",1
"1814",4
"1815",1
"1816",2
"1817",1
"1818",1
"1819",3
"1820",19
"1821",6
"1822",1
"1823",5
"1824",1
"1825",2
"1826",3
"1827",1
"1828",1
"1829",2
"1830",1
"1831",418
"1832",51
"1833",1390
"1834",3
"1835",257
"1836",2
"1837",44
"1838",1
"1839",2
"1840",10
"1841",4
"1842",1
"1843",1
"1844",3
"1845",1
"1846",2
"1847",2
"1848",28
"1849",1
"1850",1
"1851",1
"1852",20
"1853",1
"1854",1
"1855",5
"1856",1
"1857",5
"1858",1
"1859",1
"1860",1
"1861",1
"1862",19
"1863",1
"1864",6
"1865",2
"1866",2
"1867",1
"1868",2
"1869",86
"1870",2
"1871",1
"1872",21
"1873",1
"1874",17
"1875",3
"1876",2
"1877",1
"1878",1
"1879",11
"1880",1
"1881",1
"1882",3
"1883",20
"1884",1
"1885",1
"1886",1
"1887",488
"1888",1
"1889",1
"1890",1
"1891",38
"1892",8
"1893",2
"1894",1
"1895",15
"1896",1
"1897",10
"1898",5
"1899",11
"1900",3
"1901",104
"1902",1
"1903",35
"1904",1
"1905",2
"1906",1
"1907",14
"1908",1
"1909",11
"1910",1
"1911",1
"1912",1
"1913",1
"1914",1
"1915",1
"1916",5
"1917",1
"1918",1
"1919",2
"1920",2
"1921",1
"1922",3
"1923",1
"1924",1
"1925",1070
"1926",3
"1927",1
"1928",21
"1929",10
"1930",1
"1931",1
"1932",3
"1933",1
"1934",121
"1935",5
"1936",1
"1937",10
"1938",2
"1939",2
"1940",1
"1941",1
"1942",1
"1943",1
"1944",7
"1945",1
"1946",3
"1947",1
"1948",3
"1949",1
"1950",1
"1951",13
"1952",8
"1953",1
"1954",1
"1955",6
"1956",4
"1957",1
"1958",1
"1959",2
"1960",16
"1961",14
"1962",1
"1963",9
"1964",26
"1965",5
"1966",1
"1967",1
"1968",4
"1969",2
"1970",3
"1971",1
"1972",1
"1973",7
"1974",1
"1975",1
"1976",1
"1977",1
"1978",1
"1979",1
"1980",1
"1981",2
"1982",3
"1983",3
"1984",3
"1985",1
"1986",3
"1987",8
"1988",3
"1989",5
"1990",10
"1991",1
"1992",1
"1993",1
"1994",1
"1995",3
"1996",6
"1997",1
"1998",1
"1999",3
"2000",1
"2001",1
"2002",1
"2003",1
"2004",6
"2005",1
"2006",1
"2007",2
"2008",2
"2009",2
"2010",84
"2011",1
"2012",2
"2013",7
"2014",2
"2015",2
"2016",3
"2017",1
"2018",2
"2019",2
"2020",1
"2021",1
"2022",1
"2023",2
"2024",1
"2025",4
"2026",1
"2027",3
"2028",1
"2029",14
"2030",5
"2031",5
"2032",3
"2033",1
"2034",2
"2035",1
"2036",2
"2037",3
"2038",1
"2039",1
"2040",1
"2041",33
"2042",1
"2043",1
"2044",259
"2045",1
"2046",3
"2047",1
"2048",1
"2049",17
"2050",1
"2051",1
"2052",7
"2053",1
"2054",1
"2055",1
"2056",1
"2057",1
"2058",1
"2059",8
"2060",6
"2061",5
"2062",1
"2063",13
"2064",1
"2065",2
"2066",1
"2067",1
"2068",1
"2069",47
"2070",16
"2071",10
"2072",5
"2073",15
"2074",1
"2075",48
"2076",1
"2077",1
"2078",1
"2079",1
"2080",1
"2081",2
"2082",3
"2083",1
"2084",2
"2085",5
"2086",1
"2087",1
"2088",3
"2089",1
"2090",1
"2091",1
"2092",4
"2093",1
"2094",1
"2095",1
"2096",14
"2097",1
"2098",1
"2099",2
"2100",1
"2101",3
"2102",1
"2103",1
"2104",1
"2105",6
"2106",2
"2107",1
"2108",3
"2109",1
"2110",2
"2111",1
"2112",3
"2113",3
"2114",1
"2115",2
"2116",90
"2117",4410
"2118",17
"2119",2
"2120",1
"2121",8
"2122",1
"2123",12
"2124",15
"2125",2
"2126",1
"2127",1
"2128",1
"2129",6
"2130",3
"2131",1
"2132",1
"2133",1
"2134",1
"2135",1
"2136",2
"2137",1
"2138",7
"2139",2
"2140",1
"2141",6
"2142",1
"2143",3
"2144",29
"2145",1
"2146",68
"2147",1
"2148",1
"2149",1
"2150",1
"2151",1
"2152",3
"2153",1
"2154",2
"2155",4
"2156",1
"2157",2
"2158",1
"2159",1
"2160",1
"2161",1
"2162",1
"2163",9
"2164",1
"2165",1
"2166",1
"2167",1
"2168",3
"2169",36
"2170",1
"2171",29
"2172",4
"2173",1
"2174",1
"2175",2
"2176",2
"2177",12
"2178",7
"2179",1
"2180",1
"2181",1
"2182",1
"2183",1
"2184",12
"2185",2
"2186",1
"2187",2
"2188",1
"2189",2
"2190",56
"2191",35
"2192",3
"2193",2
"2194",1
"2195",2
"2196",2
"2197",2
"2198",1
"2199",11
"2200",1
"2201",3
"2202",1
"2203",1
"2204",1
"2205",1
"2206",2
"2207",1
"2208",1
"2209",3
"2210",1
"2211",1
"2212",1
"2213",1
"2214",1
"2215",5
"2216",5
"2217",1
"2218",10
"2219",1
"2220",1
"2221",1
"2222",1
"2223",7
"2224",3
"2225",2
"2226",4
"2227",4
"2228",2
"2229",1
"2230",3
"2231",1
"2232",2
"2233",1
"2234",1
"2235",1
"2236",17
"2237",1
"2238",4
"2239",3
"2240",2
"2241",10
"2242",1
"2243",1
"2244",1
"2245",1
"2246",1
"2247",3
"2248",2
"2249",1
"2250",1
"2251",1
"2252",1
"2253",1
"2254",6
"2255",1
"2256",3
"2257",1
"2258",1
"2259",1
"2260",1
"2261",1
"2262",1
"2263",2
"2264",1
"2265",5
"2266",4
"2267",3
"2268",1
"2269",7
"2270",2
"2271",10
"2272",3
"2273",42
"2274",1
"2275",1
"2276",5
"2277",1
"2278",1
"2279",2
"2280",2
"2281",1
"2282",10
"2283",1
"2284",25
"2285",2
"2286",1
"2287",1
"2288",1
"2289",2
"2290",3
"2291",1
"2292",1
"2293",5
"2294",1
"2295",2
"2296",1
"2297",14
"2298",9
"2299",1
"2300",1
"2301",5
"2302",1
"2303",2
"2304",9
"2305",3
"2306",1
"2307",1
"2308",1
"2309",1
"2310",1
"2311",6
"2312",1
"2313",2
"2314",5
"2315",1
"2316",2
"2317",1
"2318",6
"2319",2
"2320",1
"2321",2
"2322",1
"2323",1
"2324",5
"2325",1
"2326",1
"2327",1
"2328",1
"2329",3
"2330",1
"2331",1
"2332",1
"2333",1
"2334",1
"2335",4
"2336",2
"2337",1
"2338",1
"2339",1
"2340",1
"2341",3
"2342",2
"2343",1
"2344",1
"2345",1
"2346",2
"2347",1
"2348",4
"2349",1
"2350",2
"2351",1
"2352",5
"2353",1
"2354",1
"2355",1
"2356",3
"2357",8
"2358",1
"2359",6
"2360",1
"2361",3
"2362",22
"2363",1
"2364",1
"2365",1
"2366",1
"2367",1
"2368",1
"2369",1
"2370",1
"2371",3
"2372",1
"2373",1
"2374",1
"2375",2
"2376",1
"2377",2546
"2378",1
"2379",25
"2380",30
"2381",2
"2382",1
"2383",1
"2384",1
"2385",2
"2386",2
"2387",12
"2388",1
"2389",2
"2390",1
"2391",1
"2392",3
"2393",1
"2394",1
"2395",1
"2396",592
"2397",1
"2398",1
"2399",2
"2400",1
"2401",3
"2402",1
"2403",3
"2404",4
"2405",1
"2406",2
"2407",1
"2408",1
"2409",1
"2410",1
"2411",15
"2412",1
"2413",20
"2414",1
"2415",1
"2416",12
"2417",1
"2418",6
"2419",1
"2420",3
"2421",1
"2422",1
"2423",3
"2424",16
"2425",7
"2426",6
"2427",1
"2428",169
"2429",1
"2430",1
"2431",2
"2432",2
"2433",2
"2434",1
"2435",1
"2436",5
"2437",35
"2438",1
"2439",1
"2440",3
"2441",2
"2442",213
"2443",8
"2444",1
"2445",3
"2446",5
"2447",1
"2448",1
"2449",2
"2450",1
"2451",1
"2452",4
"2453",2
"2454",1
"2455",1
"2456",18
"2457",1
"2458",2
"2459",5
"2460",14
"2461",3
"2462",1
"2463",2
"2464",1
"2465",1
"2466",41
"2467",1
"2468",7
"2469",1
"2470",1
"2471",11
"2472",7
"2473",5
"2474",1
"2475",1
"2476",60
"2477",1
"2478",1
"2479",2
"2480",1
"2481",1
"2482",25
"2483",1
"2484",25
"2485",7
"2486",67
"2487",2
"2488",1
"2489",1
"2490",1
"2491",4
"2492",161
"2493",1
"2494",66
